TeamId,AreaId,AreaName,Key,Name,ShortName,Active
100000164,35,Brazil,VK,Vivo Keyd,Vivo Keyd,TRUE
100000165,35,Brazil,FLA,Flamengo eSports,Flamengo,TRUE
100000166,35,Brazil,RPG,Razer Pichau Gaming,RPG,FALSE
100000167,35,Brazil,RDP,Redemption POA,Redemption POA,TRUE
100000168,35,Brazil,UP,Uppercut esports,Uppercut,FALSE
100000169,19,Australia,AV,Avant Gaming,Avant Gaming,TRUE
100000170,19,Australia,BMR,Bombers,Bombers,FALSE
100000171,19,Australia,CHF,Chiefs Esports Club,Chiefs,TRUE
100000172,19,Australia,LGC,Legacy Esports,Legacy Esports,TRUE
100000173,19,Australia,ORD,ORDER,ORDER,TRUE
100000174,19,Australia,SIN,Sin Gaming,Sin Gaming,TRUE
100000175,19,Australia,TTC,Tectonic,Tectonic,TRUE
100000176,196,Turkey,FB,1907 Fenerbahçe,Fenerbahçe,TRUE
100000177,196,Turkey,DP,Dark Passage,Dark Passage,TRUE
100000178,196,Turkey,GAL,GALAKTICOS,GALAKTICOS,TRUE
100000179,196,Turkey,HWA,HWA Gaming,HWA Gaming,FALSE
100000180,196,Turkey,RBE,Royal Bandits,Royal Bandits,FALSE
100000181,196,Turkey,AUR,Team AURORA,Team AURORA,TRUE
100000182,196,Turkey,YC,YouthCrew Esports,YouthCrew,TRUE
100000183,19,Australia,GRV,Gravitas,Gravitas,TRUE
100000184,19,Australia,MMM,MAMMOTH,MAMMOTH,TRUE
100000185,196,Turkey,BJK,Beşiktaş e-Sports Club,Beşiktaş,TRUE
100000186,196,Turkey,BUR,Bursaspor Esports,Bursaspor,TRUE
100000187,196,Turkey,GS,Galatasaray Esports,Galatasaray,TRUE
100000188,196,Turkey,RYL,Royal Youth,Royal Youth,TRUE
100000189,49,China PR,GTA,Game Talents,Game Talents,TRUE
100000190,49,China PR,IMA,IMay,IMay,FALSE
100000191,49,China PR,JDG,JD Gaming,JD Gaming,TRUE
100000192,49,China PR,LGD,LGD Gaming,LGD Gaming,TRUE
100000193,49,China PR,NEW,Newbee,Newbee,TRUE
100000194,49,China PR,OMG,Oh My God,Oh My God,TRUE
100000195,49,China PR,SS,Snake Esports,Snake Esports,FALSE
100000196,49,China PR,WE,Team WE,Team WE,TRUE
100000197,49,China PR,VG,Vici Gaming,Vici Gaming,FALSE
100000198,49,China PR,DAN,DAN Gaming,DAN Gaming,FALSE
100000199,49,China PR,SN,SN Gaming,Suning,TRUE
100000200,49,China PR,BLG,Bilibili Gaming,Bilibili,TRUE
100000201,49,China PR,FPX,FunPlus Phoenix,FunPlus,TRUE
100000202,49,China PR,TOP,Topsports Gaming,Topsports,FALSE
100000203,49,China PR,SDG,SinoDragon Gaming,SinoDragon,FALSE
100000204,119,Macao,VF,Victory Five,Victory Five,TRUE
100000209,49,China PR,DOM,Dominus Esports,Dominus,FALSE
100000210,49,China PR,LNG,LNG Esports,LNG Esports,TRUE
100000211,49,China PR,TES,Top Esports,Top Esports,TRUE
100000212,196,Turkey,IW,İstanbul Wild Cats,İstanbul WC,TRUE
100000213,208,Vietnam,GAM,GAM Esports,GAM Esports,TRUE
100000214,16,Argentina,ISG,Isurus Gaming,Isurus Gaming,TRUE
100000215,208,Vietnam,LK,Lowkey Esports.Vietnam,Lowkey,TRUE
100000216,191,Thailand,MG,MEGA,MEGA,TRUE
100000217,160,Russia,UOL,Unicorns Of Love.CIS,UOL,TRUE
100000218,160,Russia,VEG,Vega Squadron,Vega Squadron,TRUE
100000219,176,Spain,MAM,MAD Lions Madrid,Lions Madrid,TRUE
100000221,49,China PR,EST,eStar,eStar,TRUE
100000222,203,United States,EG,Evil Geniuses,Evil Geniuses,TRUE
100000223,102,Japan,SHG,Fukuoka SoftBank Hawks,Hawks,TRUE
100000224,176,Spain,MAD,MAD Lions,MAD Lions,TRUE
100000225,35,Brazil,FUR,FURIA Uppercut,FURIA Esports,TRUE
100000226,35,Brazil,PRG,Prodigy Esports,Prodigy Esport,TRUE
100000227,19,Australia,PGG,Pentanet.GG,Pentanet.GG,TRUE
100000228,196,Turkey,5R,5 Ronin,5 Ronin,TRUE
100000229,107,Korea Republic,SP,APK Prince,SHO Prince,TRUE
100000230,107,Korea Republic,DRX,DragonX,DRX,TRUE
100000231,107,Korea Republic,T1,T1,T1,TRUE
100000295,216,Serbia,ASU,ASUS ROG ELITE,ASUS ROG ELITE,TRUE
100000296,80,Germany,BIG,BIG,BIG,TRUE
100000297,230,Great Britain,BTX,BT Excel,BT Excel,TRUE
100000298,100,Italy,SPK,Campus PS,Campus PS,TRUE
100000299,216,Serbia,CZV,Crvena zvezda,Crvena zvezda,TRUE
100000300,138,Netherlands,DK,Defusekids,Defusekids,TRUE
100000301,155,Poland,DV1,devils.one,devils.one,TRUE
100000302,117,Lithuania,EN,eNsure,eNsure,FALSE
100000303,59,Czech Republic,ESB,eSuba,eSuba,TRUE
100000304,184,Sweden,FKN,FALKN,FALKN,TRUE
100000305,230,Great Britain,FNR,Fnatic Rising,Fnatic Rising,TRUE
100000306,156,Portugal,FTW,For The Win,For The Win,TRUE
100000307,184,Sweden,GOD,Godsent,Godsent,TRUE
100000308,80,Germany,MOU,mousesports,mousesports,TRUE
100000309,176,Spain,OGB,Origen BCN,Origen BCN,FALSE
100000310,155,Poland,REC,Rogue,Rogue,TRUE
100000311,76,France,LDL,Team LDLC,Team LDLC,TRUE
100000312,76,France,VIT,Vitality.Bee,Vitality.Bee,TRUE
100000313,82,Greece,WLG,WLGaming,WLGaming,TRUE
100000314,155,Poland,RGO,AGO ROGUE,AGO ROGUE,TRUE
100000315,59,Czech Republic,CG,Cyber Gaming,Cyber Gaming,TRUE
100000316,156,Portugal,EGN,Electronik Gen,Electronik Gen,TRUE
100000317,216,Serbia,SSU,Energypot Wiz,ŠAIM SE SuppUp,TRUE
100000318,80,Germany,S04,Schalke 04 Ev.,Schalke 04 Ev.,TRUE
100000319,76,France,GO,GamersOrigin,GamersOrigin,TRUE
100000320,82,Greece,IF,Intrepid Fox,Intrepid Fox,TRUE
100000321,155,Poland,K1,K1ck Neosurf,K1ck Neosurf,TRUE
100000322,117,Lithuania,KEN,Kenty,Kenty,TRUE
100000323,176,Spain,MRS,Movistar Rider,Movistar Rider,TRUE
100000324,111,Latvia,PIG,PIGSPORTS,PIGSPORTS,TRUE
100000325,100,Italy,RCN,Racoon,Racoon,TRUE
100000326,27,Belgium,S1,Sector One,Sector One,TRUE
100000327,80,Germany,GL,GamerLegion,GamerLegion,TRUE
100000328,61,Denmark,SNG,Singularity,Singularity,TRUE
100000329,61,Denmark,VIP,Vipers Inc,Vipers Inc,TRUE
100000330,100,Italy,YDN,YDN Gamers,YDN Gamers,TRUE
100000343,35,Brazil,SAN,Santos,Santos,TRUE
100000353,107,Korea Republic,DYN,Dynamics,Dynamics,FALSE
100000406,155,Poland,PT7,7more7 Pompa,7more7 Pompa,TRUE
100000407,56,Croatia,CR4,CR4ZY,CR4ZY,TRUE
100000408,117,Lithuania,5K,Five Kings,Five Kings,TRUE
100000409,176,Spain,G2A,G2 Arctic,G2 Arctic,TRUE
100000410,117,Lithuania,IW,Iron Wolves,Iron Wolves,TRUE
100000411,138,Netherlands,LLL,LowLandLions,LowLandLions,TRUE
100000412,230,Great Britain,MSF,Misfits Prem,Misfits Prem,TRUE
100000413,160,Russia,RDL,Riddle Esports,Riddle Esports,TRUE
100000414,156,Portugal,SAM,SAMCLAN,SAMCLAN,TRUE
100000415,100,Italy,SMS,Morning Stars,Morning Stars,TRUE
100000416,59,Czech Republic,SIN,SINNERS Esport,SINNERS Esport,TRUE
100000417,,,SUP,SuppUp eSports,,TRUE
100000418,82,Greece,WLG,WLGaming,WLGaming,TRUE
100000420,91,Hong Kong,PSG,PSG,PSG,TRUE
100000433,49,China PR,TT,TT,TT,TRUE
100000434,61,Denmark,AST,Astralis,Astralis,TRUE
100000435,107,Korea Republic,BRO,Fredit BRION,Fredit BRION,TRUE
100000436,107,Korea Republic,NS,Nongshim RF,Nongshim RF,TRUE
100000437,49,China PR,RRA,Rare Atom,Rare Atom,TRUE
100000438,35,Brazil,CRZ,Cruzeiro eSpor,Cruzeiro,TRUE
100000439,35,Brazil,LLL,LOUD,LOUD,TRUE
100000440,35,Brazil,RNS,Rensga eSports,Rensga eSports,TRUE
100000441,35,Brazil,VRX,Vorax,Vorax,TRUE
100000448,196,Turkey,NSR,NASR eSports Turkey,NASR eSports,TRUE
100000450,19,Australia,PCE,PEACE,PEACE,TRUE
100000454,58,Cyprus,ANO,Anorthosis,Anorthosis,TRUE
100000455,176,Spain,BTS,Cream R. Betis,Cream R. Betis,TRUE
100000456,82,Greece,GMC,Gamespace MCE,Gamespace MCE,TRUE
100000457,100,Italy,GSK,Goskilla,Goskilla,TRUE
100000458,155,Poland,IHG,Illuminar,Illuminar,TRUE
100000459,76,France,KC,Karmine Corp,Karmine Corp,TRUE
100000460,27,Belgium,KVM,KV Mechelen,KV Mechelen,TRUE
100000461,100,Italy,MCK,Macko Esports,Macko Esports,TRUE
100000462,117,Lithuania,M2,Method2Madness,Method2Madness,TRUE
100000463,100,Italy,MKS,Mkers,Mkers,TRUE
100000464,138,Netherlands,PSV,PSV Esports,PSV Esports,TRUE
100000465,176,Spain,UCA,UCAM Esports,UCAM Esports,TRUE
100000466,156,Portugal,WD,White Dragons,White Dragons,TRUE
100000467,216,Serbia,Z10,Z10 ESHARK,Z10 ESHARK,TRUE
100000480,35,Brazil,NMG,Netshoes Miner,Netshoes Miner,TRUE
100000481,49,China PR,ULP,Ultra Prime,Ultra Prime,TRUE
